title,description,instructions,ingredients,photo_url,vegan,keto
Rich Butter Cream-Poached Eggs,"Rich and savory butter and cream-poached eggs, topped with a little shredded cheese, red pepper flakes, and scallions. So rich and filling (and very low-carb). No need for English muffins!","['Heat heavy cream and butter in a small saucepan until barely simmering.'
 'Crack each egg into a small bowl.'
 'Slide one egg at a time into the heated cream mixture. Sprinkle salt, pepper, and red pepper flakes on top. Cover and cook over low heat until white begins to set, about 2 minutes. Uncover and add shredded Cheddar cheese. Recover and cook until yolk is desired doneness, about 2 minutes more.'
 'Serve eggs and cream topped with scallions.']","['1/2 cup heavy whipping cream' '1 tablespoon butter' '2 eggs'
 '1 pinch salt and ground black pepper to taste'
 '1 dash red pepper flakes' '1 tablespoon shredded Cheddar cheese'
 '1 tablespoon chopped scallions']",http://images.media-allrecipes.com/userphotos/560x315/4422772.jpg,False,True
Chicken and Garlic,"This is a yummy easy recipe that my kids love. Chicken pieces are fried in oil, then dressed with lime juice and cilantro in a dish that goes best served over rice. For added spice, add a few chilies when the garlic goes in.","['Heat the oil in a large skillet over medium heat. Fry chicken pieces in the hot oil until browned on all sides. Add the garlic, and continue to cook until the chicken is no longer pink in the middle. Stir in the cilantro and lime juice, and season with salt and pepper. Cook just until heated through. Serve with rice.']","['3 tablespoons olive oil'
 '5 boneless, skinless chicken breast halves, cut into bite-sized pieces'
 '2 cloves garlic' '2 tablespoons lime juice'
 '1/2 cup chopped fresh cilantro' 'salt and pepper to taste']",http://images.media-allrecipes.com/userphotos/560x315/585749.jpg,False,True
Horseradish Sauce II,"This horseradish sauce, made with cream and blue cheese, goes will with roast beef and lamb.","['Pour cream into the container of a blender. Blend on low speed for a minute to thicken slightly. Add blue cheese gradually, then add horseradish and mustard, and blend well. Pour into small sterile jars, and refrigerate for up to one week to blend flavors together.']","['1 cup heavy cream' '1/4 cup crumbled blue cheese'
 '1/4 cup prepared horseradish' '1/2 teaspoon mustard powder']",http://images.media-allrecipes.com/userphotos/250x250/951501.jpg,False,True
Fried Asparagus with Bacon,"This is a different twist on asparagus, sure to please and have them coming back for more!","['Cook and stir bacon in a skillet over medium heat until crisp, about 5 minutes. Discard grease.'
 'Melt butter in the same skillet.'
 'Cook and stir asparagus and shallot with salt and black pepper in melted butter and bacon. Cover skillet and cook, stirring occasionally, until asparagus are tender, about 5 minutes.'
 'Transfer asparagus mixture to a platter. Sprinkle with Parmesan cheese.']","['3 slices bacon, chopped' '1 1/2 teaspoons butter'
 '1 pound fresh asparagus, trimmed' '1 shallot, thinly sliced'
 '1 pinch salt, or to taste' '1 pinch ground black pepper, or to taste'
 '1 tablespoon grated Parmesan cheese']",http://images.media-allrecipes.com/userphotos/560x315/3788663.jpg,False,True
Steamed Radishes,"Even if you're not a fan of radishes, TRY THIS!  When steamed, the radishes are tender and sweet..... delicious!","['Trim the ends off of the radishes and peel a band of radish-skin from around the middle of the radish.'
 'Steam the radishes in a covered microwave safe container for 8 minutes, or until fork tender. Drain and toss with butter, serve immediately.']",['20 radishes' '2 tablespoons water' '1/4 cup butter'],http://images.media-allrecipes.com/userphotos/560x315/1505453.jpg,False,True
Grilled Cabbage I,Cabbage steamed in foil with butter and garlic. The perfect sidekick to grilled ribs or chicken!,"['Preheat an outdoor grill for medium-high heat.'
 'Slice the top off of the head of cabbage so that it will sit flat with the cored side up. Place the butter, ice cube and garlic into the hole where the core used to be. Season with salt and pepper. Wrap tightly with foil, sealing at the top of the head.'
 'Place wrapped cabbage core side down directly on the grate. Let cook for 25 to 30 minutes, or until tender. Slice into wedges, and serve.']","['1 small head cabbage, cored' '1/4 cup butter, cut into pieces'
 '1 teaspoon minced garlic' '1 ice cube' 'salt and pepper to taste']",http://images.media-allrecipes.com/userphotos/560x315/1060472.jpg,False,True
Sherry Sour Cream Chicken,"An easy and delicious way to prepare chicken breasts. Works best with skinless, boneless breasts, but breasts with the bone in will also work.  Adjust the seasoning to taste.","['Preheat oven to 350 degrees F (175 degrees C).'
 'In a large skillet, saute chicken in butter/margarine until browned. Remove chicken and place in a 9x13 inch baking dish.'
 'Add sour cream and sherry to butter/margarine in skillet. Stir together until smooth. Season chicken with rosemary, thyme salt and pepper to taste. Then pour the sherry/cream mixture over the chicken. Bake in the preheated oven for 1 hour.']","['4 skinless, boneless chicken breasts' '1 cup sour cream'
 '1/4 cup sherry' '4 tablespoons butter'
 '1 tablespoon chopped fresh rosemary' '2 tablespoons chopped fresh thyme'
 'salt and pepper to taste']",http://images.media-allrecipes.com/userphotos/560x315/2382181.jpg,False,True
Sexy Shrimp Scampi,This simple but flavorful Scampi is sure to be a big hit.,"['Preheat an oven to 350 degrees F (175 degrees C).'
 'Toss the shrimp in a bowl with the olive oil, melted butter, garlic, salt, and pepper; set aside for 10 minutes. Arrange the shrimp in a circular pattern in a round casserole dish.'
 'Bake in the preheated oven until the shrimp are pink and cooked through, about 15 minutes.']","['30 medium shrimp - peeled and deveined' '2 tablespoons olive oil'
 '2 tablespoons butter, melted' '2 cloves garlic, minced'
 '1/2 teaspoon kosher salt' '1/4 teaspoon ground black pepper']",http://images.media-allrecipes.com/userphotos/560x315/510854.jpg,False,True
Black Russian Cocktail,"The black Russian gets its name from the use of the quintessential Russian spirit, vodka, and the darkness the drink has from the addition of coffee liqueur.",['Combine vodka and coffee liqueur in an old-fashioned glass. Add ice and stir well.'],"['1 1/2 fluid ounces vodka'
 '3/4 fluid ounce coffee-flavored liqueur (such as Kahlua®)' '1 cup ice']",http://images.media-allrecipes.com/userphotos/250x250/852138.jpg,False,True
Lemon Green Beans with Walnuts,"Steamed green beans tossed with butter, lemon zest, lemon juice and toasted walnuts. This is excellent with asparagus also. Pecans can be substituted for walnuts.","['Preheat oven to 375 degrees F (190 degrees C). Arrange nuts in a single layer on a baking sheet. Toast in the preheated oven until lightly browned, approximately 5 to 10 minutes.'
 'Place green beans in a steamer over 1 inch of boiling water, and cover. Steam for 8 to 10 minutes, or until tender, but still bright green.'
 'Place cooked beans in a large bowl, and toss with butter, lemon juice, and lemon zest. Season with salt and pepper. Transfer beans to a serving dish, and sprinkle with toasted walnuts. Serve immediately.']","['1/2 cup chopped walnuts'
 '1 pound green beans, trimmed and cut into 2 inch pieces'
 '2 1/2 tablespoons unsalted butter, melted' '1 lemon, juiced and zested'
 'salt and pepper to taste']",http://images.media-allrecipes.com/userphotos/250x250/655038.jpg,False,True
Hollandaise Sauce - Cooking School,"Hollandaise is the perfect way to dress up steamed vegetables, fish dishes, or grilled steaks, and is essential for making Eggs Benedict!","['Fill the bottom of a double boiler or a saucepan fit with a stainless steel bowl with 2 inches of water, making sure the water does not touch the top bowl. Whisk egg yolks and 1 tablespoon hot water together in the top bowl. Bring water to a gentle simmer and continue whisking egg yolks until they are thick and pale yellow, taking the bowl off the simmering water occasionally to keep the eggs smooth enough to blend into the sauce more easily, 3 to 4 minutes.'
 'Whisk butter into egg yolks 1 to 2 pieces at a time, whisking continuously until the butter is melted; repeat until all butter is incorporated.'
 'Remove sauce from heat. Stir lemon juice into the sauce and season with salt and pepper.']","['3 egg yolks' '1 tablespoon hot water'
 '1 cup unsalted butter, cut into chunks'
 '2 tablespoons fresh lemon juice'
 'salt and freshly ground black pepper to taste']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,True
Low Carb Cheddar and Garlic Cauliflower Mash,This recipe is great for anyone on a low-carb diet and has that occasional mashed potato craving.,"['Place cauliflower, garlic, and bay leaf in a pot; pour in enough water to cover. Bring mixture to a boil and cook until cauliflower is tender, about 20 minutes. Drain and discard bay leaf.'
 'Transfer cauliflower and garlic to a blender; add Cheddar cheese, butter, and sour cream. Blend mixture until desired consistency is reached; season with salt and pepper.']","['1 head cauliflower, chopped' '2 cloves garlic' '1 bay leaf'
 'water to cover' '1/2 cup shredded Cheddar cheese' '2 tablespoons butter'
 '2 tablespoons sour cream' 'salt and ground black pepper to taste']",http://images.media-allrecipes.com/userphotos/560x315/3107905.jpg,False,True
Broiled Zucchini With Rosemary Butter,Broil garden-fresh zucchini and spread it with a buttery herb topping for an easy side dish.,"['In a bowl, combine the first seven ingredients; set aside. Cut zucchini lengthwise into 1/2-in. slices. Place on a broiler pan coated with nonstick cooking spray. Broil 4 in. from the heat for 10-12 minutes, turning occasionally, or until crisp-tender. Spread with rosemary butter; serve immediately.']","['3 tablespoons butter (no substitutes), softened'
 '1/4 cup finely chopped green onions'
 '2 tablespoons minced fresh rosemary' '1 teaspoon lemon juice'
 '1/2 teaspoon grated lemon peel' '1/4 teaspoon pepper'
 '1/8 teaspoon cayenne pepper' '4 medium zucchini']",http://images.media-allrecipes.com/userphotos/250x250/992784.jpg,False,True
Grilled Parmesan Asparagus,"Delicious crispy asparagus grilled on an open flame releases the flavor and makes kids love their veggies! You can add or reduce cook time to your liking. Less time will make the asparagus snap more easily, but cooking longer will make them extra crispy and delicious for dipping. Use 1/2 cup melted butter for dipping.","['Preheat an outdoor grill on medium heat, and lightly oil the grate.'
 'Toss asparagus and olive oil in a bowl until evenly coated.'
 'Sprinkle Parmesan cheese and salt onto asparagus until evenly distributed.'
 'Place asparagus spears on grill crosswise. Cook until tips are almost blackened, 20 minutes; turning spears over after 10 minutes.']","['1 pound fresh asparagus, trimmed' '3 tablespoons olive oil'
 '1/2 cup grated Parmesan cheese, or to taste' 'salt to taste']",http://images.media-allrecipes.com/userphotos/560x315/1056154.jpg,False,True
Black Lemon Chicken Salad,"In this simple roasted chicken salad, the warm dressing is built from the dark caramelized lemon and chicken drippings, broth, and lemon juice. For the wilted greens, you can use romaine lettuce, watercress, arugula, or spinach.","['Preheat the oven to 375 degrees F (190 degrees C).'
 'Drizzle vegetable oil in a large roasting pan.'
 'Whisk lemon juice, olive oil, black pepper, salt, cayenne pepper, and cumin in large bowl.'
 'Place chicken in lemon mixture and turn it several times to coat each side. Place chicken breast side down in the marinade, and set aside for 30 minutes.'
 'Place chicken breast side up in the prepared roasting pan. Pour about 1/4 of of marinade into the chicken cavity. Brush remaining marinade on the top and sides of the chicken.'
 'Sprinkle rosemary, thyme, and salt over top of chicken.'
 'Tie chicken legs together with kitchen twine.'
 'Roast chicken uncovered in the preheated oven for 45 minutes; remove from oven and spoon juices accumulated in the pan over chicken. Pour 1 cup of chicken broth into the pan and continue roasting until chicken skin is browned and meat is no longer pink, about 30 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Remove from the oven, spoon juices accumulated in the pan over chicken again, and cover loosely with aluminum foil for 20 minutes.'
 'Remove chicken to a platter, draining any juices from the cavity into the pan; cover chicken with aluminum foil and set aside.'
 'Set the roasting pan on the stove top over medium-high heat; add 3/4 cup chicken broth and boil, scraping any browned bits from the bottom of the pan. Simmer, stirring occasionally, until sauce is reduced by about half, about 10 minutes.'
 'Slice chicken into 8 pieces and serve over shredded lettuce in a large bowl. Pour 2 to 3 tablespoons of pan sauce over the top, tossing to slightly wilt the lettuce leaves. Serve with additional sauce on the side.']","['2 tablespoons vegetable oil' '3/4 cup lemon juice'
 '2 tablespoons olive oil' '1 teaspoon ground black pepper'
 '1/2 teaspoon salt' '1 pinch cayenne pepper' '1 pinch ground cumin'
 '1 (5 pound) whole chicken' '1 teaspoon dried rosemary'
 '1 teaspoon dried thyme' 'salt to taste'
 '1 3/4 cups chicken broth, divided' '1 head romaine lettuce, shredded']",http://images.media-allrecipes.com/userphotos/560x315/3708703.jpg,False,True
Roasted Lemon Herb Chicken,My family loves this. My husband even requests it.,"['Preheat oven to 350 degrees F (175 degrees C).'
 'Combine the seasoning, salt, mustard powder, garlic powder and black pepper; set aside. Rinse the chicken thoroughly, and remove the giblets. Place chicken in a 9x13 inch baking dish. Sprinkle 1 1/2 teaspoons of the spice mixture inside the chicken. Rub the remaining mixture on the outside of the chicken.'
 'Squeeze the juice of the 2 lemons into a small bowl or cup, and mix with the olive oil. Drizzle this oil/juice mixture over the chicken.'
 'Bake in the preheated oven for 1 1/2 hours, or until juices run clear, basting several times with the remaining oil mixture.']","['2 teaspoons Italian seasoning' '1/2 teaspoon seasoning salt'
 '1/2 teaspoon mustard powder' '1 teaspoon garlic powder'
 '1/2 teaspoon ground black pepper' '1 (3 pound) whole chicken' '2 lemons'
 '2 tablespoons olive oil']",http://images.media-allrecipes.com/userphotos/560x315/3187427.jpg,False,True
How to Make Perfect Hard Boiled Eggs  ,"This method makes the most perfect hard-boiled eggs ever. The whites are firm but not rubbery, and the yolks are cooked and still creamy.","[""Place eggs into a saucepan and pour in cold water to cover; place over high heat. When the water just starts to simmer, turn off heat, cover pan with a lid, and let stand for 17 minutes. Don't peek.""
 'Pour out the hot water and pour cold water over eggs. Drain and refill with cold water; let stand until eggs are cool, about 20 minutes. Peel eggs under running water.']",['6 eggs'],http://images.media-allrecipes.com/userphotos/560x315/3661599.jpg,False,True
Fresh Green Dip,"It's green, but it's not guacamole! Serve this cool, refreshing dip with bread, crackers or vegetables.","['In a blender or food processor, mix the mayonnaise, chives, parsley, sour cream, yogurt, vinegar, tarragon, lemon juice and garlic. Serve at once.']","['2 cups mayonnaise' '1/4 cup chopped fresh chives'
 '1/4 cup chopped fresh parsley' '1 1/2 cups sour cream'
 '1/3 cup plain yogurt' '1 tablespoon distilled white vinegar'
 '1 teaspoon dried tarragon' '1 lemon, juiced' '1 teaspoon minced garlic']",http://images.media-allrecipes.com/userphotos/560x315/1000267.jpg,False,True
Spicy Mustard Spread,"'This zippy spread makes taste buds sit up and take notice,' assure Audrey Thibodeau of Mesa, Arizona. 'It's super on vegetables, hot dogs and hamburger, in potato salad and more.'","['In a mixing bowl, combine all ingredients; beat until smooth. Serve with hot dogs, vegetables, hamburgers, chicken or steak. Store in the refrigerator.']","['1/4 cup butter or margarine, softened' '2 tablespoons ground mustard'
 '2 tablespoons vinegar' '1/4 teaspoon garlic salt'
 '4 drops hot pepper sauce']",http://images.media-allrecipes.com/userphotos/250x250/983768.jpg,False,True
Spicy Garlic Panini Sauce,A great sauce to add to your panini to give it a little kick!,"['Stir the mayonnaise, hot pepper sauce, and garlic powder together in a bowl. Use immediately or keep refrigerated.']","['1 tablespoon mayonnaise'
 '1 1/2 teaspoons hot pepper sauce (such as Tabasco®)'
 '2 teaspoons garlic powder']",http://images.media-allrecipes.com/userphotos/250x250/267315.jpg,False,True
Grilled Salmon,"We love to cook on the grill at our house. I've used this flavorful salmon recipe several times and we always enjoy it. The parsley, rosemary and green onions help make the tender fillets a tempting main dish that looks impressive. -Monell Nuckols, Carpinteria, California","['Place salmon in shallow dish. Combine remaining ingredients and mix well. Set aside 1/4 cup for basting; pour the rest over the salmon. Cover and refrigerate for 30 minutes. Drain, discarding marinade. Grill salmon over medium coals, skin side down, for 15-20 minutes or until fish flakes easily with a fork. Baste occasionally with reserved marinade.']","['2 pounds salmon fillets' '1/2 cup vegetable oil' '1/2 cup lemon juice'
 '4 green onions, thinly sliced' '3 tablespoons minced fresh parsley'
 '1 1/2 teaspoons minced fresh rosemary' '1/2 teaspoon salt'
 '1/8 teaspoon pepper']",http://images.media-allrecipes.com/userphotos/250x250/980769.jpg,False,True
Simple Seared Salmon,.,"['Preheat oven to 375 degrees F. Place a nonstick baking sheet in oven. Season salmon fillets with salt and pepper and heat a skillet over high heat. When skillet is hot but not smoking, coat lightly with cooking spray and place salmon in pan. Cook for 3 minutes without disturbing.'
 'When salmon has developed a brown crust, flip and brown other side, about 3 minutes.'
 'Transfer salmon to hot baking sheet in oven and roast for another 7 to 10 minutes, depending on thickness, until salmon is cooked through.']",['2 (4 ounce) salmon fillets' 'Salt and pepper to taste'],http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,True
Creamy Cottage Cheese Scrambled Eggs,A nice change from regular scrambled eggs. These eggs come out creamy and soft. Perfect with a slice of tomato and turkey bacon for a delicious and fast low-carb breakfast.,"['Melt butter in a skillet over medium heat. Pour beaten eggs into the skillet; let cook undisturbed until the bottom of the eggs begin to firm, 1 to 2 minutes.'
 'Stir cottage cheese and chives into eggs and season with black pepper. Cook and stir until eggs are nearly set, 3 to 4 minutes more.']","['1 tablespoon butter' '4 eggs, beaten' '1/4 cup cottage cheese'
 'ground black pepper to taste'
 '1 teaspoon chopped fresh chives, or to taste (optional)']",http://images.media-allrecipes.com/userphotos/560x315/2036588.jpg,False,True
Tangy Marinated Red Peppers,"Red pepper slices marinated in a vinegar, garlic and anchovy mixture take on a flavor that makes them perfect for condiment trays and salads.","['In a large saucepan, mix distilled white vinegar, SPLENDA(R) Granulated Sweetener, vegetable oil and water. Bring to a boil. Remove from heat and stir in salt, garlic and anchovy filets.'
 'Place red bell peppers in a large bowl. Cover with the vinegar mixture. Cover and chill in the refrigerator 8 hours, or overnight, before serving.']","['4 cups distilled white vinegar'
 '2 cups SPLENDA® No Calorie Sweetener, Granulated' '2 cups vegetable oil'
 '3 cups water' '2 tablespoons salt' '6 cloves garlic, crushed'
 '1 (2 ounce) can anchovy fillets'
 '10 red bell peppers, seeded and thinly sliced']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,True
Tuscan Grilled Steak,"For Phase One, flank steak is perfect for grilling. It has a full, rich flavor, yet its thin enough to grill in a flash. Here, we serve it as they do in Northern Italy, slathered with a garlic rub, grilled then sliced and served over peppery arugula greens.","['In small bowl, mash garlic and oil until a paste forms (you may also do this in the food processor.) Pay steaks dry with paper towel, then sprinkle with salt and pepper. Rub garlic paste over both sides of steaks. Let sit for 30 minutes.'
 'Preheat grill to high heat. Grill steak 5 to 7 minutes, until well-seared and browned. Flip; grill 3 to 5 minutes longer, until medium rare. To check, cut into meat with a knife and remove when meat is slightly less done than you want it to be. Transfer to cutting board; cover loosely with foil and let rest 10 minutes. Slice very thin, against the grain and at a slight angle.'
 'Arrange arugula on platter. Top with steak slices. Drizzle with any accumulated platter juices. Serve immediately.']","['3 large cloves garlic, crushed' '2 teaspoons extra-virgin olive oil'
 '1 (2 pound) flank steak' 'Salt and pepper' '4 ounces arugula']",http://images.media-allrecipes.com/userphotos/250x250/981275.jpg,False,True
Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,Squares of cheesy pizza are served up with sliced sausage and pepperoni in your favorite pizza sauce.,"['Top pizza crust with cheese. Bake crust according to package directions. Meanwhile, in a 12-inch skillet, combine the pizza sauce, sausage and pepperoni. Bring to a simmer, stirring occasionally. Reduce heat to low. Cut pizza crust into squares; arrange over sausage mixture in skillet.']","['1 (12 inch) pre-baked pizza crust'
 '1 1/2 cups shredded mozzarella cheese' '1 (14 ounce) jar pizza sauce'
 '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced'
 '1 (3.5 ounce) package sliced pepperoni']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,False
Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,Squares of cheesy pizza are served up with sliced sausage and pepperoni in your favorite pizza sauce.,"['Top pizza crust with cheese. Bake crust according to package directions. Meanwhile, in a 12-inch skillet, combine the pizza sauce, sausage and pepperoni. Bring to a simmer, stirring occasionally. Reduce heat to low. Cut pizza crust into squares; arrange over sausage mixture in skillet.']","['1 (12 inch) pre-baked pizza crust'
 '1 1/2 cups shredded mozzarella cheese' '1 (14 ounce) jar pizza sauce'
 '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced'
 '1 (3.5 ounce) package sliced pepperoni']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,False
Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,Squares of cheesy pizza are served up with sliced sausage and pepperoni in your favorite pizza sauce.,"['Top pizza crust with cheese. Bake crust according to package directions. Meanwhile, in a 12-inch skillet, combine the pizza sauce, sausage and pepperoni. Bring to a simmer, stirring occasionally. Reduce heat to low. Cut pizza crust into squares; arrange over sausage mixture in skillet.']","['1 (12 inch) pre-baked pizza crust'
 '1 1/2 cups shredded mozzarella cheese' '1 (14 ounce) jar pizza sauce'
 '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced'
 '1 (3.5 ounce) package sliced pepperoni']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,False
Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,Squares of cheesy pizza are served up with sliced sausage and pepperoni in your favorite pizza sauce.,"['Top pizza crust with cheese. Bake crust according to package directions. Meanwhile, in a 12-inch skillet, combine the pizza sauce, sausage and pepperoni. Bring to a simmer, stirring occasionally. Reduce heat to low. Cut pizza crust into squares; arrange over sausage mixture in skillet.']","['1 (12 inch) pre-baked pizza crust'
 '1 1/2 cups shredded mozzarella cheese' '1 (14 ounce) jar pizza sauce'
 '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced'
 '1 (3.5 ounce) package sliced pepperoni']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,False
Quick and Easy Moose Milk,This was created by my daughter and enjoyed by many. Try it your friends will be asking for the recipe. Adjust quantities according to company.,"['Blend cream, milk, vodka, rum, Irish cream liqueur, coffee-flavored liqueur, ice cream, nutmeg, and cinnamon together in a blender until smooth.']","['12 fluid ounces heavy whipping cream' '12 fluid ounces milk'
 '4 fluid ounces vodka' '4 fluid ounces dark rum'
 '2 fluid ounces Irish cream liqueur (such as Baileys®)'
 '2 fluid ounces coffee-flavored liqueur (such as Kahlua®)'
 '2 cups vanilla ice cream' '1 pinch ground nutmeg, or more to taste'
 '1 pinch ground cinnamon, or more to taste']",http://images.media-allrecipes.com/userphotos/560x315/2138269.jpg,False,False
Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,Squares of cheesy pizza are served up with sliced sausage and pepperoni in your favorite pizza sauce.,"['Top pizza crust with cheese. Bake crust according to package directions. Meanwhile, in a 12-inch skillet, combine the pizza sauce, sausage and pepperoni. Bring to a simmer, stirring occasionally. Reduce heat to low. Cut pizza crust into squares; arrange over sausage mixture in skillet.']","['1 (12 inch) pre-baked pizza crust'
 '1 1/2 cups shredded mozzarella cheese' '1 (14 ounce) jar pizza sauce'
 '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced'
 '1 (3.5 ounce) package sliced pepperoni']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,False
Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,Squares of cheesy pizza are served up with sliced sausage and pepperoni in your favorite pizza sauce.,"['Top pizza crust with cheese. Bake crust according to package directions. Meanwhile, in a 12-inch skillet, combine the pizza sauce, sausage and pepperoni. Bring to a simmer, stirring occasionally. Reduce heat to low. Cut pizza crust into squares; arrange over sausage mixture in skillet.']","['1 (12 inch) pre-baked pizza crust'
 '1 1/2 cups shredded mozzarella cheese' '1 (14 ounce) jar pizza sauce'
 '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced'
 '1 (3.5 ounce) package sliced pepperoni']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,False
Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,Squares of cheesy pizza are served up with sliced sausage and pepperoni in your favorite pizza sauce.,"['Top pizza crust with cheese. Bake crust according to package directions. Meanwhile, in a 12-inch skillet, combine the pizza sauce, sausage and pepperoni. Bring to a simmer, stirring occasionally. Reduce heat to low. Cut pizza crust into squares; arrange over sausage mixture in skillet.']","['1 (12 inch) pre-baked pizza crust'
 '1 1/2 cups shredded mozzarella cheese' '1 (14 ounce) jar pizza sauce'
 '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced'
 '1 (3.5 ounce) package sliced pepperoni']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,False
Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,Squares of cheesy pizza are served up with sliced sausage and pepperoni in your favorite pizza sauce.,"['Top pizza crust with cheese. Bake crust according to package directions. Meanwhile, in a 12-inch skillet, combine the pizza sauce, sausage and pepperoni. Bring to a simmer, stirring occasionally. Reduce heat to low. Cut pizza crust into squares; arrange over sausage mixture in skillet.']","['1 (12 inch) pre-baked pizza crust'
 '1 1/2 cups shredded mozzarella cheese' '1 (14 ounce) jar pizza sauce'
 '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced'
 '1 (3.5 ounce) package sliced pepperoni']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,False
Sicilian Roasted Chicken,"I made up this one to resemble the rotisserie chicken I love so much. It is so expensive here, so here's my version.","['Preheat oven to 425 degrees F (220 degrees C). Grease a 9x13-inch pan with cooking spray.'
 'Arrange chicken pieces in the baking pan. Sprinkle salt, pepper, paprika, garlic powder, and oregano over both sides.'
 'Roast in the preheated oven until chicken is browned and the juices run clear, about 1 hour. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C).']","['cooking spray' '1 whole chicken, cut into 8 pieces' '1 teaspoon salt'
 '1 teaspoon ground black pepper' '1 teaspoon ground paprika'
 '1 teaspoon garlic powder' '1 teaspoon dried oregano']",http://images.media-allrecipes.com/userphotos/560x315/3922864.jpg,False,False
Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,Squares of cheesy pizza are served up with sliced sausage and pepperoni in your favorite pizza sauce.,"['Top pizza crust with cheese. Bake crust according to package directions. Meanwhile, in a 12-inch skillet, combine the pizza sauce, sausage and pepperoni. Bring to a simmer, stirring occasionally. Reduce heat to low. Cut pizza crust into squares; arrange over sausage mixture in skillet.']","['1 (12 inch) pre-baked pizza crust'
 '1 1/2 cups shredded mozzarella cheese' '1 (14 ounce) jar pizza sauce'
 '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced'
 '1 (3.5 ounce) package sliced pepperoni']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,False
Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,Squares of cheesy pizza are served up with sliced sausage and pepperoni in your favorite pizza sauce.,"['Top pizza crust with cheese. Bake crust according to package directions. Meanwhile, in a 12-inch skillet, combine the pizza sauce, sausage and pepperoni. Bring to a simmer, stirring occasionally. Reduce heat to low. Cut pizza crust into squares; arrange over sausage mixture in skillet.']","['1 (12 inch) pre-baked pizza crust'
 '1 1/2 cups shredded mozzarella cheese' '1 (14 ounce) jar pizza sauce'
 '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced'
 '1 (3.5 ounce) package sliced pepperoni']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,False
Johnsonville® Three Cheese Italian Style Chicken Sausage Skillet Pizza,Squares of cheesy pizza are served up with sliced sausage and pepperoni in your favorite pizza sauce.,"['Top pizza crust with cheese. Bake crust according to package directions. Meanwhile, in a 12-inch skillet, combine the pizza sauce, sausage and pepperoni. Bring to a simmer, stirring occasionally. Reduce heat to low. Cut pizza crust into squares; arrange over sausage mixture in skillet.']","['1 (12 inch) pre-baked pizza crust'
 '1 1/2 cups shredded mozzarella cheese' '1 (14 ounce) jar pizza sauce'
 '1 (12 ounce) package Johnsonville® Three Cheese Italian Style Chicken Sausage, sliced'
 '1 (3.5 ounce) package sliced pepperoni']",http://images.media-allrecipes.com/global/recipes/nophoto/nopicture-910x511.png,False,False
